A1BG	19	ENSG00000121410
A1CF	10	ENSG00000148584
A2M	12	ENSG00000175899
A2ML1	12	ENSG00000166535
A3GALT2	1	ENSG00000184389
A4GALT	22	ENSG00000128274
A4GNT	3	ENSG00000118017
AAAS	12	ENSG00000094914
AACS	12	ENSG00000081760
AADAC	3	ENSG00000114771
AADACL2	3	ENSG00000197953
AADACL3	1	ENSG00000188984
AADACL4	1	ENSG00000204518
AADAT	4	ENSG00000109576
AAED1	9	ENSG00000158122
AAGAB	15	ENSG00000103591
AAK1	2	ENSG00000115977
AAMDC	11	ENSG00000087884
AAMP	2	ENSG00000127837
AANAT	17	ENSG00000129673
AAR2	20	ENSG00000131043
AARD	8	ENSG00000205002
AARS	16	ENSG00000090861
AARS2	6	ENSG00000124608
AARSD1	17	ENSG00000266967
AASDH	4	ENSG00000157426
AASDHPPT	11	ENSG00000149313
AASS	7	ENSG00000008311
AATF	17	ENSG00000275700
AATK	17	ENSG00000181409
ABAT	16	ENSG00000183044
ABC7-42404400C24.1	10	ENSG00000277758
ABCA1	9	ENSG00000165029
ABCA10	17	ENSG00000154263
ABCA12	2	ENSG00000144452
ABCA13	7	ENSG00000179869
ABCA2	9	ENSG00000107331
ABCA3	16	ENSG00000167972
ABCA4	1	ENSG00000198691
ABCA5	17	ENSG00000154265
ABCA6	17	ENSG00000154262
ABCA7	19	ENSG00000064687
ABCA8	17	ENSG00000141338
ABCA9	17	ENSG00000154258
ABCB1	7	ENSG00000085563
ABCB10	1	ENSG00000135776
ABCB11	2	ENSG00000073734
ABCB4	7	ENSG00000005471
ABCB5	7	ENSG00000004846
ABCB6	2	ENSG00000115657
ABCB7	X	ENSG00000131269
ABCB8	7	ENSG00000197150
ABCB9	12	ENSG00000150967
ABCC1	16	ENSG00000103222
ABCC10	6	ENSG00000124574
ABCC11	16	ENSG00000121270
ABCC12	16	ENSG00000140798
ABCC2	10	ENSG00000023839
ABCC3	17	ENSG00000108846
ABCC4	13	ENSG00000125257
ABCC5	3	ENSG00000114770
ABCC6	16	ENSG00000091262
ABCC8	11	ENSG00000006071
ABCC9	12	ENSG00000069431
ABCD1	X	ENSG00000101986
ABCD2	12	ENSG00000173208
ABCD3	1	ENSG00000117528
ABCD4	14	ENSG00000119688
ABCE1	4	ENSG00000164163
ABCF1	6	ENSG00000204574
ABCF2	7	ENSG00000033050
ABCF3	3	ENSG00000161204
ABCG1	21	ENSG00000160179
ABCG2	4	ENSG00000118777
ABCG4	11	ENSG00000172350
ABCG5	2	ENSG00000138075
ABCG8	2	ENSG00000143921
ABHD1	2	ENSG00000143994
ABHD10	3	ENSG00000144827
ABHD11	7	ENSG00000106077
ABHD12	20	ENSG00000100997
ABHD12B	14	ENSG00000131969
ABHD13	13	ENSG00000139826
ABHD14A	3	ENSG00000248487
ABHD14A-ACY1	3	ENSG00000114786
ABHD14B	3	ENSG00000114779
ABHD15	17	ENSG00000168792
ABHD16A	6	ENSG00000204427
ABHD16B	20	ENSG00000183260
ABHD17A	19	ENSG00000129968
ABHD17B	9	ENSG00000107362
ABHD17C	15	ENSG00000136379
ABHD18	4	ENSG00000164074
ABHD2	15	ENSG00000140526
ABHD3	18	ENSG00000158201
ABHD4	14	ENSG00000100439
ABHD5	3	ENSG00000011198
ABHD6	3	ENSG00000163686
ABHD8	19	ENSG00000127220
ABI1	10	ENSG00000136754
ABI2	2	ENSG00000138443
ABI3	17	ENSG00000108798
ABI3BP	3	ENSG00000154175
ABL1	9	ENSG00000097007
ABL2	1	ENSG00000143322
ABLIM1	10	ENSG00000099204
ABLIM2	4	ENSG00000163995
ABLIM3	5	ENSG00000173210
ABO	9	ENSG00000175164
ABR	17	ENSG00000159842
ABRA	8	ENSG00000174429
ABRACL	6	ENSG00000146386
ABT1	6	ENSG00000146109
ABTB1	3	ENSG00000114626
ABTB2	11	ENSG00000166016
AC002310.11	16	ENSG00000261459
AC002310.13	16	ENSG00000260869
AC002398.9	19	ENSG00000188223
AC002985.3	19	ENSG00000268193
AC003002.4	19	ENSG00000268133
AC003002.6	19	ENSG00000269533
AC003005.4	19	ENSG00000268107
AC003006.7	19	ENSG00000269026
AC004076.7	19	ENSG00000268533
AC004076.9	19	ENSG00000268163
AC004158.1	16	ENSG00000280264
AC004381.6	16	ENSG00000005189
AC004754.3	16	ENSG00000269881
AC004813.1	12	ENSG00000279777
AC004824.2	1	ENSG00000280226
AC004853.1	7	ENSG00000279723
AC004953.1	7	ENSG00000279538
AC005042.1	2	ENSG00000281472
AC005477.1	14	ENSG00000280188
AC005480.1	14	ENSG00000279461
AC005779.2	19	ENSG00000267545
AC005943.2	19	ENSG00000267059
AC006026.2	7	ENSG00000279448
AC006328.4	Y	ENSG00000280301
AC006386.1	Y	ENSG00000279115
AC006445.1	4	ENSG00000281620
AC006449.2	17	ENSG00000279119
AC006486.9	19	ENSG00000268643
AC006538.4	19	ENSG00000267001
AC006994.3	2	ENSG00000279317
AC007040.11	2	ENSG00000258881
AC007163.2	2	ENSG00000280298
AC007192.4	19	ENSG00000268173
AC007326.1	22	ENSG00000279560
AC007557.5	2	ENSG00000278951
AC007906.1	16	ENSG00000279018
AC008074.1	2	ENSG00000279644
AC008522.1	5	ENSG00000279232
AC008622.1	19	ENSG00000280050
AC008641.1	5	ENSG00000279109
AC008686.1	19	ENSG00000280221
AC008759.1	19	ENSG00000279471
AC008810.1	5	ENSG00000279126
AC008914.1	5	ENSG00000279768
AC009022.1	16	ENSG00000279533
AC009060.2	16	ENSG00000280006
AC009060.3	16	ENSG00000280252
AC009065.4	16	ENSG00000279473
AC009121.2	16	ENSG00000280717
AC009133.22	16	ENSG00000277669
AC009133.23	16	ENSG00000280893
AC009336.19	2	ENSG00000278500
AC009491.1	Y	ENSG00000279547
AC009491.2	Y	ENSG00000279664
AC009758.1	11	ENSG00000280253
AC009950.1	2	ENSG00000280755
AC009977.1	Y	ENSG00000279335
AC010184.1	3	ENSG00000280530
AC010287.1	16	ENSG00000279816
AC010412.1	19	ENSG00000279183
AC010547.9	16	ENSG00000261611
